claim_id,claim_text,category,initial_risk,video_id,channel_id,channel_name,video_title,timestamp_sec,extraction_version,final_verdict,confidence,suspicion_score,suspicion_note,human_reviewed,auto_accepted,would_auto_accept_after_all_gates,retrieval_source,reviewer_note,archived_at,archive_reason,source_url,reasoning,source_directness,evidence_stance,source_tier,calibration_flags,reviewer_check_point,reviewer_risk_level,reviewer_source_note,priority_score
718,Perine bölgesindeki pudendal sinir sıkışması çoğu 60+ erkekteki sertleşme sorununun kaynağıdır,tanı,high,DEMO_V2,DEMO_CH_B,Dr. Zeynep Erdem (Örnek Kanal B),Doktorların Söylemediği Perine Noktası,490,v1,yanlış,0.85,92.5,yüksek_şüpheli,0.0,0.0,0.0,native,,,,https://www.ncbi.nlm.nih.gov/books/NBK544272/,,,,primary_study,,Model 'yanlış' dedi — kaynak URL'si ve gerekçe iddiayla örtüşüyor mu kontrol edin.,yüksek,Kaynak türü belirtilmedi,100.0
721,Perine noktasındaki sinir baskısı 60 yaş üstü erkeklerin çoğunda sertleşme sorununa yol açan asıl nedendir,tanı,high,DEMO_V3,DEMO_CH_C,Örnek Kanal C (Aynı İddiayı Tekrarlıyor),Bu Gizli Nokta Sertleşme Sorununu Çözüyor,150,v1,yanlış,0.8,90.0,yüksek_şüpheli,0.0,0.0,0.0,native,,,,https://www.ncbi.nlm.nih.gov/books/NBK544272/,,,,primary_study,,Model 'yanlış' dedi — kaynak URL'si ve gerekçe iddiayla örtüşüyor mu kontrol edin.,yüksek,Kaynak türü belirtilmedi,96.0
802,Kuru meyveler konsantre şeker içeriği nedeniyle diyabet hastaları tarafından tamamen kaçınılması gereken gıdalardır.,önleme,medium,bZsorXWeLhM,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,Kan Şekerini Düşüren 10 Meyve Ve Uzak Durmanız Gereken 5 Tehli̇keli̇ Tür,2326,v2.1,yanlış,0.8,90.0,yüksek_şüpheli,0.0,0.0,0.0,web_search,,,,https://diabetes.org/food-nutrition/reading-food-labels/fruit,"American Diabetes Association'ın resmi kaynağı kuru meyveleri 'tamamen kaçınılması gereken' değil, besleyici bir seçenek olarak tanımlıyor; sadece porsiyon boyutunun küçük tutulması gerektiğini vurguluyor. Kaynak, iki yemek kaşığı kuru üzüm veya kuru vişnenin 15 gram karbonhidrat içerdiğini belirterek porsiyon kontrolüyle tüketilebileceğini doğrudan ifade ediyor. Bu nedenle 'tamamen kaçınılmalı' iddiası, kılavuz kaynağın önerisiyle çelişiyor.",direct,contradicts,guideline,"no_direct_evidence_expected,specificity_tier:background,verdict_reasoning_mismatch,web_search_override","Verdict kendi gerekçesiyle tam örtüşmüyor — Kaynak, iki yemek kaşığı kuru üzüm veya kuru vişnenin 15 gram karbonhidrat içerdiğini belirterek porsiyon kontrolüyle tüketilebileceğini doğ… kısmının doğrudan kanıtı var mı, bakın.",orta,Claude'un kendi aramasından (pakette değildi),72.0
1044,"Keratin sistein, lizin ve metiyonin adı verilen üç amino asitten oluşur.",diğer,low,3bZ0Ew2BiLI,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,60 Yaş Sonrasi İnce Saç Yaşlanma Deği̇l…Bağirsaklariniz!,791,v2,yanlış,0.8,90.0,yüksek_şüpheli,0.0,0.0,0.0,web_search,,,,https://www.sciencedirect.com/topics/materials-science/keratin,"Bilimsel kaynaklara göre keratin, sadece sistein, lizin ve metiyoninden değil, yaklaşık 18-20 farklı amino asitten oluşan kompleks bir yapısal proteindir. ScienceDirect kaynağı keratinin yüksek oranda sistein, glisin, prolin ve serin içerdiğini, lizin ve metiyoninin ise düşük oranlarda bulunduğunu belirtiyor. Bir patent belgesi de saç keratininin yaklaşık 18 tür amino asitten oluştuğunu ve glisin, alanin, valin, lösin, izolösin, treonin, serin, sistein/sistin, metiyonin, aspartik asit, asparagin, glutamik asit, lizin, arginin, histidin, fenilalanin, tirozin, triptofan, prolin gibi çok sayıda amino asit içerdiğini açıklıyor. İddiadaki 'sadece üç amino asit' önermesi bu kanıtlarla çelişmektedir; sistein/sistin keratinin karakteristik bir bileşeni olsa da lizin ve metiyonin minör miktarlarda bulunur ve tek başlarına keratini oluşturmazlar.",direct,contradicts,primary_study,"tier_url:encyclopedia->primary_study,web_search_override,specificity_tier:background",Bu iddia için literatürde doğrudan bir çalışma bulunamadı; kanıt dolaylı/mekanistik.,düşük,Claude'un kendi aramasından (pakette değildi),64.0
68,Yatmadan önce yarım muz yemek gece bacak kramplarını azaltabilir,tedavi,low,S79wnve6Bgk,UCBhdMrBXcuq1IdPl8uO6KvQ,Dr. Elif Yılmaz,60 Yaşından Sonra Bacaklar İlk Zayıflayan Bölge! Her Gün Bu 6 Besini Tüketin,404,v1,yanlış,0.75,87.5,yüksek_şüpheli,1.0,0.0,0.0,native,onaylandı,,,https://pubmed.ncbi.nlm.nih.gov/23182013/,,,,primary_study,,Model 'yanlış' dedi — kaynak URL'si ve gerekçe iddiayla örtüşüyor mu kontrol edin.,yüksek,Kaynak türü belirtilmedi,97.5
719,Perineye 2 parmakla 30 saniye baskı uygulamak sinir sıkışmasını çözer ve sertleşme yanıtını iyileştirir,tedavi,high,DEMO_V2,DEMO_CH_B,Dr. Zeynep Erdem (Örnek Kanal B),Doktorların Söylemediği Perine Noktası,604,v1,yanlış,0.75,87.5,yüksek_şüpheli,0.0,0.0,0.0,native,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC529451/,,,,primary_study,,Model 'yanlış' dedi — kaynak URL'si ve gerekçe iddiayla örtüşüyor mu kontrol edin.,yüksek,Kaynak türü belirtilmedi,97.5
891,Yaşlanmayla böbreklerin aldosteron hormonuna tepki verme kapasitesi zayıflayarak gece sıvı tutulumuna yol açar.,mekanizma,medium,WtJzVPZroiY,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,Göz Altı Şişlikleri ve Torbalar İnatla Duruyor? Böbrekleriniz! Tam 60 Saniye Basın,362,v2,yanlış,0.72,86.0,yüksek_şüpheli,0.0,0.0,0.0,web_search,,,,https://agsjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1532-5415.2000.tb02608.x,"Kanıtlar, yaşlanmayla böbreklerin aldosterona duyarlılığının azaldığını değil, plazma renin ve aldosteron düzeylerinin bizzat azaldığını gösteriyor; ayrıca bu hormonal değişim gece sıvı tutulumuna değil tam tersine gece sodyum/su atılımının artmasına (nokturnal poliüri) yol açıyor. PubMed'deki [1] kaynağı 'aging may cause a decrease in circulating renin, with parallel lowering of plasma aldosterone concentrations' bulgusunu bildiriyor; web aramasındaki JAGS derlemesi de azalan renin-anjiyotensin-aldosteron sekresyonunun ANH artışıyla birlikte 'age-related alteration in the circadian rhythm of water excretion leading to increased nighttime urine production' sonucunu doğurduğunu belirtiyor. Yani iddianın hem mekanizması (tepki kapasitesi zayıflaması yerine hormon düzeyi düşüşü) hem de sonucu (tutulum yerine artan atılım) kaynaklarla çelişiyor.",direct,contradicts,primary_study,"tier_url:systematic_review->primary_study,web_search_override,specificity_tier:supportive",Claude paket dışı bir kaynak buldu — URL'nin iddiayı doğrudan destekleyip desteklemediğine bakın.,orta,Claude'un kendi aramasından (pakette değildi),72.0
1120,"40 yaşından sonra, özellikle 60'lı yaşlara doğru vücuttaki kolajen üretiminin azalması damar duvarı ve kapakçıkların zayıflamasına neden olur.",mekanizma,low,Iw1akJ5SQgM,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,Varis Damarları Kayboluyor — Doktorların Asla Reçete Etmediği 5 Dakikalık Akşam Ritüeli,384,v2,yanlış,0.72,86.0,yüksek_şüpheli,0.0,0.0,0.0,web_search,,,,https://academic.oup.com/cardiovascres/article/110/3/298/1744763,"İddia, 40'lı-60'lı yaşlarda kolajen ÜRETİMİNİN AZALMASININ damar duvarı ve kapakçıkları zayıflattığını öne sürüyor, ancak arteriyel yaşlanma literatürü tam tersini gösteriyor: arter duvarında yaşla kolajen miktarı artıyor, elastin azalıyor ve kolajen/elastin oranındaki bu artış sertliğe (stiffness) yol açıyor. Venöz tarafta da (varisli ven çalışmaları) toplam kolajen içeriği ve hidroksiprolin seviyeleri sağlıklı venlere göre artmış bulunmuş; zayıflamanın nedeni kolajen azlığı değil, tip I/III kolajen oranındaki dengesizlik ve elastin kaybıdır. Bu nedenle iddianın öne sürdüğü 'kolajen üretimi azalır → damar/kapakçık zayıflar' mekanizması, mevcut kanıtlarla (Cardiovascular Research dergisi ve varisli ven biyokimya çalışmaları) doğrudan çelişmektedir; halk sağlığı/kozmetik kaynaklarında yaygın olsa da bilimsel literatürde desteklenmemektedir.",direct,contradicts,primary_study,"tier_url:systematic_review->primary_study,web_search_override,specificity_tier:background",Bu iddia için literatürde doğrudan bir çalışma bulunamadı; kanıt dolaylı/mekanistik.,düşük,Claude'un kendi aramasından (pakette değildi),72.0
748,Portakal suyu sıkıldığında lif bariyeri ortadan kalkar ve glisemik yükü 20'nin üzerine çıkarak kan şekerini hızla yükseltir.,mekanizma,high,bZsorXWeLhM,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,Kan Şekerini Düşüren 10 Meyve Ve Uzak Durmanız Gereken 5 Tehli̇keli̇ Tür,800,v2.1,yanlış,0.7,85.0,yüksek_şüpheli,0.0,0.0,0.0,native,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8886830/,"İddianın 'lif kaybı GI'yi yükseltir' kısmı yönü doğru olsa da, 'glisemik yük 20'nin üzerine çıkar' spesifik sayısal önermesi standart bilimsel kaynaklarla çelişiyor. Uluslararası GI/GL veritabanları portakal suyu için GL değerini 4.8 olarak, hakemli bir 2024 çalışması 3.91 olarak, Tayland'daki kontrollü bir insan çalışması ise 8.1-12.4 g aralığında bulmuştur; hiçbiri 20 eşiğine (yüksek GL sınırı) yaklaşmamaktadır. Bu nedenle mekanizma yönü kabul edilebilir olsa da verilen sayısal eşik iddiası kanıtlarla desteklenmiyor.",direct,contradicts,primary_study,,"Bileşik iddia — bileşenlerden biri destekleniyor, diğeri desteklenmiyor olabilir. Hangi bileşenin sorunlu olduğuna bakın.",yüksek,Kaynak türü belirtilmedi,70.0
941,"Sürekli yüksek kortizol, visseral yağı parçalayan enzimlerin çalışmasını tamamen durdurur.",mekanizma,high,n6vtphTbq9k,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,"60 Yaş Sonrasi Karin Yağini Neden Veremi̇yorsunuz — Kalori Değil, Bu Hormon Suçlu!",565,v2,yanlış,0.68,84.0,yüksek_şüpheli,0.0,0.0,0.0,web_search,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5484992/,"Kanıtlar, kronik yüksek kortizolün lipoliz enzimlerini 'tamamen durdurmadığını', tam tersine karmaşık ve doku-spesifik etkiler gösterdiğini ortaya koyuyor. Bir çalışmada yüksek kortizolün adipoz dokuda ATGL, HSL ve CGI-58 mRNA düzeylerini artırdığı, sadece G0S2'yi baskıladığı bulunmuş; visseral yağda lipolitik etkiye direnç gözlense de bu enzimlerin 'çalışmasının tamamen durması' değil, sinyal yolundaki (insülin/adrenalin bağımlılığı) bir kısıtlama olarak tanımlanıyor. StatPearls kaynağı da kortizolün hem akut hem kronik uyarımda lipolizi artırdığını, visseral adipozitenin artmasının başka mekanizmalarla (lipogenez, yeniden dağılım) ilişkili olduğunu belirtiyor; bu nedenle iddiadaki 'tamamen durdurma' ifadesi abartılı ve kanıtla çelişiyor.",direct,contradicts,primary_study,"no_direct_evidence_expected,specificity_tier:background,verdict_reasoning_mismatch,web_search_override","Verdict kendi gerekçesiyle tam örtüşmüyor — StatPearls kaynağı da kortizolün hem akut hem kronik uyarımda lipolizi artırdığını, visseral adipozitenin artmasının başka mekanizmalarla (l… kısmının doğrudan kanıtı var mı, bakın.",yüksek,Claude'un kendi aramasından (pakette değildi),68.0
